Time;Bid\Ask;Price;Volume
05:08.6;Bid;1.16198;10000000
05:08.6;Bid;1.16232;10000000
05:08.6;Bid;1.16198;10000000
05:12.7;Bid;1.16209;1000000
05:08.6;Bid;1.16232;10000000
05:08.6;Bid;1.16198;10000000
05:12.7;Bid;1.16209;1000000
05:12.7;Bid;1.16218;1000000
05:08.6;Bid;1.16232;10000000
05:08.6;Bid;1.16198; 10000000
05:12.7;Bid;1.16208;1000000
05:12.7;Bid;1.16218;1000000
05:08.6;Bid;1.16232;10000000
