ClothNane;ClothCategory;Season;ClothSilh;ClothModel;ClothSize;allCount;allReceipts
pk1555-1191;Платье;Специфичная;треугольный;NULL;46;14;19,3666
pk1555-1191;Платье;Специфичная;треугольный;NULL;48;16;21,5792
pk1555-1191;Платье;Специфичная;треугольный;NULL;50;18;26,246
pk1555-1191;Платье;Специфичная;треугольный;NULL;52;13;16,0089
pk1555-1191;Платье;Специфичная;треугольный;NULL;54;14;18,8444
pk1555-1191;Платье;Специфичная;треугольный;NULL;56;14;17,1828
pk1555-1191;Платье;Специфичная;треугольный;NULL;58;11;13,7643
pk1555-1191;Платье;Специфичная;треугольный;1091;46;17;20,3468
pk1555-1191;Платье;Специфичная;треугольный;1091;48;24;30,9121
pk1555-1191;Платье;Специфичная;треугольный;1091;50;25;32,0602
pk1555-1191;Платье;Специфичная;треугольный;1091;52;22;28,3966
pk1555-1191;Платье;Специфичная;треугольный;1091;54;24;28,9218
pk1555-1191;Платье;Специфичная;треугольный;1091;56;20;24,5745
pk1555-1191;Платье;Специфичная;треугольный;1091;58;9;11,3133
pk1385-1151;Платье;Весна-осень;треугольный;NULL;42;12;16,8409
pk1385-1151;Платье;Весна-осень;треугольный;NULL;44;19;25,6268
pk1385-1151;Платье;Весна-осень;треугольный;NULL;46;21;32,5969
pk1385-1151;Платье;Весна-осень;треугольный;NULL;48;24;31,3187
pk1385-1151;Платье;Весна-осень;треугольный;NULL;50;20;28,5324
pk1385-1151;Платье;Весна-осень;треугольный;NULL;42;22;27,2971
pk1385-1151;Платье;Весна-осень;треугольный;NULL;44;20;25,5781
pk1385-1151;Платье;Весна-осень;треугольный;NULL;46;24;28,2907
pk1385-1151;Платье;Весна-осень;треугольный;NULL;48;25;27,1429
pk1385-1151;Платье;Весна-осень;треугольный;NULL;50;23;32,9168
pk1315-1151;Платье;Весна-осень;треугольный;1051;42;15;21,0911
pk1315-1151;Платье;Весна-осень;треугольный;1051;44;27;34,245
pk1315-1151;Платье;Весна-осень;треугольный;1051;46;26;34,9902
pk1315-1151;Платье;Весна-осень;треугольный;1051;48;31;34,3143
pk1315-1151;Платье;Весна-осень;треугольный;1051;50;32;37,9261
pk5517-1167;Платье;Весна-осень;треугольный;1067;42;19;37,66425
pk5517-1167;Платье;Весна-осень;треугольный;1067;44;37;70,73715
pk5517-1167;Платье;Весна-осень;треугольный;1067;46;56;100,68555
pk5517-1167;Платье;Весна-осень;треугольный;1067;48;57;98,98615
pk5517-1167;Платье;Весна-осень;треугольный;1067;50;53;93,40205
pk5517-1167;Платье;Весна-осень;треугольный;1067;52;54;94,96215
pk5517-1167;Платье;Весна-осень;треугольный;1067;54;43;74,27055
pk5517-1167;Платье;Весна-осень;треугольный;1067;56;43;74,67795
pk5517-1167;Платье;Весна-осень;треугольный;1067;58;33;60,0936
pk5517-1167;Платье;Весна-осень;треугольный;1067;60;26;49,4254
pk5518-1167;Платье;Весна-осень;треугольный;1067;42;18;31,98645
pk5518-1167;Платье;Весна-осень;треугольный;1067;44;29;49,51225
pk5518-1167;Платье;Весна-осень;треугольный;1067;46;40;74,38095
pk5518-1167;Платье;Весна-осень;треугольный;1067;48;38;66,05685
pk5518-1167;Платье;Весна-осень;треугольный;1067;50;44;82,54995
pk5518-1167;Платье;Весна-осень;треугольный;1067;52;40;67,84155
pk5518-1167;Платье;Весна-осень;треугольный;1067;54;37;63,78115
pk5518-1167;Платье;Весна-осень;треугольный;1067;56;33;56,5103
pk5518-1167;Платье;Весна-осень;треугольный;1067;58;20;32,2396
pk5518-1167;Платье;Весна-осень;треугольный;1067;60;14;22,6712
pk1385-1153;Платье;Весна-осень;трапециевидный;NULL;42;7;5,9494
pk1385-1153;Платье;Весна-осень;трапециевидный;NULL;44;17;16,8254
pk1385-1153;Платье;Весна-осень;трапециевидный;NULL;46;16;15,9569
pk1385-1153;Платье;Весна-осень;трапециевидный;NULL;48;17;16,2131
pk1387-1153;Платье;Весна-осень;трапециевидный;NULL;42;13;16,48
pk1387-1153;Платье;Весна-осень;трапециевидный;NULL;44;15;14,65
pk1387-1153;Платье;Весна-осень;трапециевидный;NULL;46;15;16,55
pk1387-1153;Платье;Весна-осень;трапециевидный;NULL;48;13;14,0877
pk1318-1153;Платье;Весна-осень;трапециевидный;1053;40;3;3,57
pk1318-1153;Платье;Весна-осень;трапециевидный;1053;42;3;2,97
pk1318-1153;Платье;Весна-осень;трапециевидный;1053;44;3;3,27
pk1318-1153;Платье;Весна-осень;трапециевидный;1053;46;2;1,47
pk1318-1153;Платье;Весна-осень;трапециевидный;1053;48;3;3,2442
in5531-1183;Юбка;Весна-осень;трапециевидная;NULL;42;9;9,675
in5531-1183;Юбка;Весна-осень;трапециевидная;NULL;44;7;6,278
in5531-1183;Юбка;Весна-осень;трапециевидная;NULL;46;8;7,405
in5531-1183;Юбка;Весна-осень;трапециевидная;NULL;48;9;8,1985
bk1156-1163;Рубашки;Внесезонная;свободная;1062;42;18;19,0975
bk1156-1163;Рубашки;Внесезонная;свободная;1062;44;18;22,1375
bk1156-1163;Рубашки;Внесезонная;свободная;1062;46;20;24,2825
bk1156-1163;Рубашки;Внесезонная;свободная;1062;48;17;22,37
bk1156-1163;Рубашки;Внесезонная;свободная;1062;50;16;20,0325
bk1156-1163;Рубашки;Внесезонная;свободная;1062;52;16;20,0325
bk1156-1163;Рубашки;Внесезонная;свободная;1062;54;12;12,8775
bk1158-1181;Рубашки;Внесезонная;свободная;NULL;42;31;35,8975
bk1158-1181;Рубашки;Внесезонная;свободная;NULL;44;33;37,5393
bk1158-1181;Рубашки;Внесезонная;свободная;NULL;46;36;38,1362
bk1158-1181;Рубашки;Внесезонная;свободная;NULL;48;34;39,827
bk1158-1181;Рубашки;Внесезонная;свободная;NULL;50;28;29,6283
bk1158-1181;Рубашки;Внесезонная;свободная;NULL;52;23;23,8161
bk1158-1181;Рубашки;Внесезонная;свободная;NULL;54;21;23,2361
bk1159-1181;Рубашки;Внесезонная;свободная;NULL;42;21;26,8335
bk1159-1181;Рубашки;Внесезонная;свободная;NULL;44;26;31,4025
bk1159-1181;Рубашки;Внесезонная;свободная;NULL;46;34;41,6725
bk1159-1181;Рубашки;Внесезонная;свободная;NULL;48;39;51,803
bk1159-1181;Рубашки;Внесезонная;свободная;NULL;50;40;49,3585
bk1159-1181;Рубашки;Внесезонная;свободная;NULL;52;32;36,841
bk1159-1181;Рубашки;Внесезонная;свободная;NULL;54;28;31,731
bk1176-1163;Рубашки;Внесезонная;свободная;1062;42;19;19,8497
bk1176-1163;Рубашки;Внесезонная;свободная;1062;44;26;27,135
bk1176-1163;Рубашки;Внесезонная;свободная;1062;46;26;24,9778
bk1176-1163;Рубашки;Внесезонная;свободная;1062;48;25;26,2386
bk1176-1163;Рубашки;Внесезонная;свободная;1062;50;26;25,1057
bk1176-1163;Рубашки;Внесезонная;свободная;1062;52;26;28,2088
bk1176-1163;Рубашки;Внесезонная;свободная;1062;54;19;17,0022
bk1151-1179;Рубашки;Блузочная;свободная;NULL;42;26;32,404
bk1151-1179;Рубашки;Блузочная;свободная;NULL;44;63;83,0357
bk1151-1179;Рубашки;Блузочная;свободная;NULL;46;65;82,7162
bk1151-1179;Рубашки;Блузочная;свободная;NULL;48;64;79,1977
bk1151-1179;Рубашки;Блузочная;свободная;NULL;50;57;74,0537
bk1151-1179;Рубашки;Блузочная;свободная;NULL;52;55;67,8142
bk1151-1179;Рубашки;Блузочная;свободная;NULL;54;46;56,6282
bk1151-1179;Рубашки;Блузочная;свободная;NULL;56;14;16,71
bk1156-1179;Рубашки;Блузочная;свободная;NULL;42;11;14,34
bk1156-1179;Рубашки;Блузочная;свободная;NULL;44;15;16,4125
bk1156-1179;Рубашки;Блузочная;свободная;NULL;46;22;26,25
bk1156-1179;Рубашки;Блузочная;свободная;NULL;48;17;20,4
bk1156-1179;Рубашки;Блузочная;свободная;NULL;50;18;21,7275
bk1156-1179;Рубашки;Блузочная;свободная;NULL;52;14;16,4125
bk1156-1179;Рубашки;Блузочная;свободная;NULL;54;12;14,2375
bk1157-1163;Рубашки;Блузочная;свободная;NULL;42;35;42,8972
bk1157-1163;Рубашки;Блузочная;свободная;NULL;44;48;56,9037
bk1157-1163;Рубашки;Блузочная;свободная;NULL;46;49;59,0177
bk1157-1163;Рубашки;Блузочная;свободная;NULL;48;50;68,3582
bk1157-1163;Рубашки;Блузочная;свободная;NULL;50;50;61,2405
bk1157-1163;Рубашки;Блузочная;свободная;NULL;52;49;63,8285
bk1157-1163;Рубашки;Блузочная;свободная;NULL;54;41;48,6005
qwe9113-1515;Штаны ;Лето;прямые;505;46;0;0
qwe9113-1515;Штаны ;Лето;прямые;505;48;0;0
qwe9113-1515;Штаны ;Лето;прямые;505;50;0;0
qwe9113-1515;Штаны ;Лето;прямые;505;52;0;0
qwe9113-1515;Штаны ;Лето;прямые;505;54;0;0
qwe9113-1515;Штаны ;Лето;прямые;505;56;0;0
qwe9113-1515;Штаны ;Лето;прямые;505;58;0;0
qwe9113-1515;Штаны ;Лето;прямые;505;60;0;0
qwe9113-1515;Штаны ;Лето;прямые;505;62;0;0
qwe9113-1515;Штаны ;Лето;прямые;505;64;0;0
qwe9113-1515;Штаны ;Лето;прямые;505;46;1;1,39
qwe9113-1515;Штаны ;Лето;прямые;505;48;0;0
qwe9113-1515;Штаны ;Лето;прямые;505;50;2;2,18
qwe9113-1515;Штаны ;Лето;прямые;505;52;0;0
qwe9113-1515;Штаны ;Лето;прямые;505;54;1;1,39
qwe9113-1515;Штаны ;Лето;прямые;505;56;0;0
qwe9113-1515;Штаны ;Лето;прямые;505;58;0;0
qwe9113-1515;Штаны ;Лето;прямые;505;60;0;0
qwe9113-1515;Штаны ;Лето;прямые;505;62;1;0,7742
qwe9113-1515;Штаны ;Лето;прямые;505;64;0;0
qwe9119-1911;Штаны ;Лето;прямые;B0910;44;0;1,9033
qwe9119-1911;Штаны ;Лето;прямые;B0910;46;0;0
qwe9119-1911;Штаны ;Лето;прямые;B0910;48;0;0
qwe9119-1911;Штаны ;Лето;прямые;B0910;50;0;0
qwe9119-1911;Штаны ;Лето;прямые;B0910;52;0;1,4331
qwe9119-1911;Штаны ;Лето;прямые;B0910;54;0;0
qwe9119-1911;Штаны ;Лето;прямые;B0910;56;0;0
qwe9119-1911;Штаны ;Лето;прямые;B0910;58;0;0
qwe9119-1911;Штаны ;Лето;прямые;B0910;60;1;1,505
qwe9111-1911;Штаны ;Лето;прямые;B0910;44;0;0
qwe9111-1911;Штаны ;Лето;прямые;B0910;46;0;0
qwe9111-1911;Штаны ;Лето;прямые;B0910;48;0;0
qwe9111-1911;Штаны ;Лето;прямые;B0910;50;0;0
qwe9111-1911;Штаны ;Лето;прямые;B0910;52;0;0
qwe9111-1911;Штаны ;Лето;прямые;B0910;54;0;0
qwe9111-1911;Штаны ;Лето;прямые;B0910;56;0;0
qwe9111-1911;Штаны ;Лето;прямые;B0910;58;0;4,3155
qwe9111-1911;Штаны ;Лето;прямые;B0910;60;0;0
qwe9111-1831;Штаны ;Лето;прямые;NULL;44;0;0
qwe9111-1831;Штаны ;Лето;прямые;NULL;46;0;0
qwe9111-1831;Штаны ;Лето;прямые;NULL;48;0;0
qwe9111-1831;Штаны ;Лето;прямые;NULL;50;0;0
qwe9111-1831;Штаны ;Лето;прямые;NULL;52;0;0
qwe9111-1831;Штаны ;Лето;прямые;NULL;54;0;0
qwe9111-1911;Штаны ;Лето;прямые;B0910;44;0;0
qwe9111-1911;Штаны ;Лето;прямые;B0910;46;0;0
qwe9111-1911;Штаны ;Лето;прямые;B0910;48;0;0
qwe9111-1911;Штаны ;Лето;прямые;B0910;50;0;0
qwe9111-1911;Штаны ;Лето;прямые;B0910;52;1;4,213
qwe9111-1911;Штаны ;Лето;прямые;B0910;54;0;0
qwe9111-1911;Штаны ;Лето;прямые;B0910;56;0;0
qwe9111-1911;Штаны ;Лето;прямые;B0910;58;0;0
qwe9111-1911;Штаны ;Лето;прямые;B0910;60;0;0
qwe9115-1513;Штаны ;Лето;прямые;402;48;0;0
qwe9115-1513;Штаны ;Лето;прямые;402;50;0;0
qwe9115-1513;Штаны ;Лето;прямые;402;52;0;0
qwe9115-1513;Штаны ;Лето;прямые;402;54;0;0
qwe9115-1513;Штаны ;Лето;прямые;402;56;0;0
qwe9115-1513;Штаны ;Лето;прямые;402;58;0;0
qwe9115-1513;Штаны ;Лето;прямые;402;60;0;0
qwe9115-1513;Штаны ;Лето;прямые;402;62;0;0
qwe9115-1513;Штаны ;Лето;прямые;402;64;0;0
qwe9115-1513;Штаны ;Лето;прямые;402;66;0;0
qwe9115-1515;Штаны ;Лето;прямые;505;46;0;0
qwe9115-1515;Штаны ;Лето;прямые;505;48;0;0
qwe9115-1515;Штаны ;Лето;прямые;505;50;0;0
qwe9115-1515;Штаны ;Лето;прямые;505;52;0;0
qwe9115-1515;Штаны ;Лето;прямые;505;54;0;0
qwe9115-1515;Штаны ;Лето;прямые;505;56;0;0
qwe9115-1515;Штаны ;Лето;прямые;505;58;0;0
qwe9115-1515;Штаны ;Лето;прямые;505;60;0;0
qwe9115-1515;Штаны ;Лето;прямые;505;62;0;0
qwe9115-1515;Штаны ;Лето;прямые;505;64;0;0
qwe9115-1857;Штаны ;Лето;прямые;B0857;46;0;0
qwe9115-1857;Штаны ;Лето;прямые;B0857;48;0;0,465
qwe9115-1857;Штаны ;Лето;прямые;B0857;50;0;0
qwe9115-1857;Штаны ;Лето;прямые;B0857;52;0;0
qwe9115-1857;Штаны ;Лето;прямые;B0857;54;0;0
qwe9115-1857;Штаны ;Лето;прямые;B0857;56;0;0
qwe9115-1857;Штаны ;Лето;прямые;B0857;58;0;0
qwe9115-1857;Штаны ;Лето;прямые;B0857;60;0;0
qwe9115-1857;Штаны ;Лето;прямые;B0857;64;1;4,62
9113396;Штаны ;Лето;прямые;396;48;0;0
9113396;Штаны ;Лето;прямые;396;50;0;0
9113396;Штаны ;Лето;прямые;396;58;0;0
9113396;Штаны ;Лето;прямые;396;62;1;0,4
9115513;Штаны ;Лето;прямые;503;42;0;0
9115513;Штаны ;Лето;прямые;503;44;0;0,20164
9115513;Штаны ;Лето;прямые;503;46;0;0
9115513;Штаны ;Лето;прямые;503;48;0;0
9115513;Штаны ;Лето;прямые;503;50;0;0
9115513;Штаны ;Лето;прямые;503;52;0;0
9115513;Штаны ;Лето;прямые;503;54;0;0
1516831;Штаны ;Лето;прямые;831;42;2;3,54793
1516831;Штаны ;Лето;прямые;831;44;0;0
1516831;Штаны ;Лето;прямые;831;46;0;0
1516831;Штаны ;Лето;прямые;831;48;0;0
1516831;Штаны ;Лето;прямые;831;50;0;0
1516831;Штаны ;Лето;прямые;831;52;0;0
1516831;Штаны ;Лето;прямые;831;54;0;0
1516831;Штаны ;Лето;прямые;831;56;0;0
1516831;Штаны ;Лето;прямые;831;58;0;0
313113;Штаны ;Лето;прямые;12;46;1;0,2
qwe3111-1515;Штаны ;Лето;прямые;505;46;0;0
qwe3111-1515;Штаны ;Лето;прямые;505;48;1;2,0883
qwe3111-1515;Штаны ;Лето;прямые;505;50;2;4,515
qwe3111-1515;Штаны ;Лето;прямые;505;52;0;0,5833
qwe3111-1515;Штаны ;Лето;прямые;505;54;2;4,8972
qwe3111-1515;Штаны ;Лето;прямые;505;56;1;6,1288
qwe3111-1515;Штаны ;Лето;прямые;505;58;3;9,9965
qwe3111-1515;Штаны ;Лето;прямые;505;60;5;12,78596
qwe3111-1515;Штаны ;Лето;прямые;505;62;2;6,35615
qwe3111-1515;Штаны ;Лето;прямые;505;64;2;4,36466
qwe3111-1857;Штаны ;Лето;прямые;B0857;50;0;0
qwe3111-1857;Штаны ;Лето;прямые;B0857;54;1;1,69
qwe3111-1857;Штаны ;Лето;прямые;B0857;58;1;1,505
qwe3111-1857;Штаны ;Лето;прямые;B0857;60;0;0
qwe3111-1857;Штаны ;Лето;прямые;B0857;62;0;0,7
qwe3111-1857;Штаны ;Лето;прямые;B0857;46;0;0
qwe3111-1857;Штаны ;Лето;прямые;B0857;50;0;0
qwe3111-1857;Штаны ;Лето;прямые;B0857;52;0;0
qwe3111-1857;Штаны ;Лето;прямые;B0857;54;0;0,7
qwe3111-1857;Штаны ;Лето;прямые;B0857;56;0;0
qwe3111-1857;Штаны ;Лето;прямые;B0857;58;0;0
qwe3113-1515;Штаны ;Лето;прямые;505;46;0;0
qwe3113-1515;Штаны ;Лето;прямые;505;48;0;0
qwe3113-1515;Штаны ;Лето;прямые;505;50;0;0
qwe3113-1515;Штаны ;Лето;прямые;505;52;0;0
qwe3113-1515;Штаны ;Лето;прямые;505;54;0;0
qwe3113-1515;Штаны ;Лето;прямые;505;56;0;0
qwe3113-1515;Штаны ;Лето;прямые;505;58;0;0
qwe3113-1515;Штаны ;Лето;прямые;505;60;0;0
qwe3113-1857;Штаны ;Лето;прямые;B0857;46;0;0
qwe3113-1857;Штаны ;Лето;прямые;B0857;48;0;0
qwe3113-1857;Штаны ;Лето;прямые;B0857;50;0;0
qwe3113-1857;Штаны ;Лето;прямые;B0857;52;0;0
qwe3113-1857;Штаны ;Лето;прямые;B0857;54;0;0
qwe3113-1857;Штаны ;Лето;прямые;B0857;56;0;0
qwe3113-1857;Штаны ;Лето;прямые;B0857;58;0;0
qwe3113-1857;Штаны ;Лето;прямые;B0857;60;0;0
qwe3113-1857;Штаны ;Лето;прямые;B0857;62;0;0
qwe3113-1857;Штаны ;Лето;прямые;B0857;64;0;0
qwe3111-1515;Штаны ;Лето;прямые;505;50;1;0,9207
qwe3111-1515;Штаны ;Лето;прямые;505;54;0;0
qwe3111-1515;Штаны ;Лето;прямые;505;58;0;0
qwe3111-1515;Штаны ;Лето;прямые;505;62;0;0
qwe3111-1857;Штаны ;Лето;прямые;B0857;46;0;0
qwe3111-1857;Штаны ;Лето;прямые;B0857;48;0;0
qwe3111-1857;Штаны ;Лето;прямые;B0857;54;0;0
qwe3111-1857;Штаны ;Лето;прямые;B0857;56;0;0
qwe3311-1857;Штаны ;Лето;прямые;B0857;46;2;1,9197
qwe3311-1857;Штаны ;Лето;прямые;B0857;48;9;11,1714
qwe3311-1857;Штаны ;Лето;прямые;B0857;50;9;8,22775
qwe3311-1857;Штаны ;Лето;прямые;B0857;52;9;9,86096
qwe3311-1857;Штаны ;Лето;прямые;B0857;54;13;12,77566
qwe3311-1857;Штаны ;Лето;прямые;B0857;56;7;7,16846
qwe3311-1857;Штаны ;Лето;прямые;B0857;58;6;8,5321
qwe3311-1857;Штаны ;Лето;прямые;B0857;60;5;5,03932
qwe3311-1857;Штаны ;Лето;прямые;B0857;62;3;1,9247
313113;Штаны ;Лето;прямые;12;48;1;0,2
5339396;Штаны ;Зима;прямые;396;46;3;3,4391
5339396;Штаны ;Зима;прямые;396;48;22;23,6157
5339396;Штаны ;Зима;прямые;396;50;32;34,6242
5339396;Штаны ;Зима;прямые;396;52;42;54,3462
5339396;Штаны ;Зима;прямые;396;54;45;50,9521
5339396;Штаны ;Зима;прямые;396;56;44;49,4689
5339396;Штаны ;Зима;прямые;396;58;39;41,976
5339396;Штаны ;Зима;прямые;396;60;42;45,6236
5339396;Штаны ;Зима;прямые;396;62;27;29,2089
5339396;Штаны ;Зима;прямые;396;64;22;26,1446
5339396;Штаны ;Зима;прямые;396;66;11;13,7453
5339513;Штаны ;Зима;прямые;503;44;30;39,0616
5339513;Штаны ;Зима;прямые;503;46;39;53,3645
5339513;Штаны ;Зима;прямые;503;48;41;45,8165
5339513;Штаны ;Зима;прямые;503;50;41;50,3902
5339513;Штаны ;Зима;прямые;503;52;37;39,6655
5339513;Штаны ;Зима;прямые;503;54;28;29,725
5339513;Штаны ;Зима;прямые;503;56;23;24,6249
517113;Штаны ;Зима;прямые;12;46;1;0,9207
517113;Штаны ;Зима;прямые;12;48;1;0,99
517113;Штаны ;Зима;прямые;12;50;3;2,8314
517113;Штаны ;Зима;прямые;12;52;1;0,99
517113;Штаны ;Зима;прямые;12;60;1;0,9207
517113;Штаны ;Зима;прямые;12;62;1;0,9207
517113;Штаны ;Зима;прямые;12;46;13;13,0524
517113;Штаны ;Зима;прямые;12;48;18;17,4381
517113;Штаны ;Зима;прямые;12;50;30;28,3216
517113;Штаны ;Зима;прямые;12;52;35;36,4297
517113;Штаны ;Зима;прямые;12;54;30;27,1575
517113;Штаны ;Зима;прямые;12;56;32;33,3498
517113;Штаны ;Зима;прямые;12;58;5;9,9
517113;Штаны ;Зима;прямые;12;60;7;11,1111
517113;Штаны ;Зима;прямые;12;62;2;4,95
517113;Штаны ;Зима;прямые;12;64;4;4,95
5171378;Штаны ;Зима;прямые;278;44;3;2,8314
5171378;Штаны ;Зима;прямые;278;46;23;22,4815
5171378;Штаны ;Зима;прямые;278;48;40;39,2856
5171378;Штаны ;Зима;прямые;278;50;16;19,94534
5171378;Штаны ;Зима;прямые;278;52;20;21,6869
5171378;Штаны ;Зима;прямые;278;54;46;47,01693
5171378;Штаны ;Зима;прямые;278;56;65;68,6712
5171378;Штаны ;Зима;прямые;278;58;44;44,48626
5171378;Штаны ;Зима;прямые;278;60;47;47,6212
5171378;Штаны ;Зима;прямые;278;62;25;29,66067
5171378;Штаны ;Зима;прямые;278;64;8;7,3557
5171385;Штаны ;Зима;прямые;384;46;34;31,2483
5171385;Штаны ;Зима;прямые;384;48;62;58,4139
5171385;Штаны ;Зима;прямые;384;50;88;81,5815
5171385;Штаны ;Зима;прямые;384;52;92;85,0121
5171385;Штаны ;Зима;прямые;384;54;88;81,2331
5171385;Штаны ;Зима;прямые;384;56;87;81,385
5171385;Штаны ;Зима;прямые;384;58;89;82,4282
5171385;Штаны ;Зима;прямые;384;60;83;79,1851
5171513;Штаны ;Зима;прямые;402;48;28;26,0109
5171513;Штаны ;Зима;прямые;402;50;60;54,9925
5171513;Штаны ;Зима;прямые;402;52;65;61,3582
5171513;Штаны ;Зима;прямые;402;54;63;77,1142
5171513;Штаны ;Зима;прямые;402;56;47;60,7185
5171513;Штаны ;Зима;прямые;402;58;74;122,5674
5171513;Штаны ;Зима;прямые;402;60;67;82,4366
5171513;Штаны ;Зима;прямые;402;62;61;80,21775
5171513;Штаны ;Зима;прямые;402;64;62;84,6702
5171513;Штаны ;Зима;прямые;402;66;15;32,3208
5171513;Штаны ;Зима;прямые;402;68;39;36,2616
591113;Штаны ;Зима;прямые;12;46;1;0,99
591113;Штаны ;Зима;прямые;12;48;2;3,28
591113;Штаны ;Зима;прямые;12;50;4;3,661
591113;Штаны ;Зима;прямые;12;52;1;0,99
591113;Штаны ;Зима;прямые;12;54;1;0,99
591113;Штаны ;Зима;прямые;12;56;5;4,55
591113;Штаны ;Зима;прямые;12;58;5;4,6609
591113;Штаны ;Зима;прямые;12;60;4;3,6709
591113;Штаны ;Зима;прямые;12;62;4;3,6907
591113;Штаны ;Зима;прямые;12;64;3;2,7007
591113;Штаны ;Зима;прямые;12;66;2;1,98
591113;Штаны ;Зима;прямые;12;44;1;0,79
591113;Штаны ;Зима;прямые;12;46;7;6,4409
591113;Штаны ;Зима;прямые;12;48;9;8,6917
591113;Штаны ;Зима;прямые;12;50;14;16,5528
591113;Штаны ;Зима;прямые;12;52;15;15,533
591113;Штаны ;Зима;прямые;12;54;16;18,9831
591113;Штаны ;Зима;прямые;12;56;25;29,3556
591113;Штаны ;Зима;прямые;12;58;28;26,4669
591113;Штаны ;Зима;прямые;12;60;26;28,9484
591113;Штаны ;Зима;прямые;12;62;31;35,959
591113;Штаны ;Зима;прямые;12;64;29;32,27
591113;Штаны ;Зима;прямые;12;66;21;21,247
5911385;Штаны ;Зима;прямые;384;46;14;13,3165
5911385;Штаны ;Зима;прямые;384;48;32;29,9515
5911385;Штаны ;Зима;прямые;384;50;32;31,6811
5911385;Штаны ;Зима;прямые;384;52;35;32,4828
5911385;Штаны ;Зима;прямые;384;54;30;28,23925
5911385;Штаны ;Зима;прямые;384;56;25;23,2422
5911385;Штаны ;Зима;прямые;384;58;14;14,1545
5911385;Штаны ;Зима;прямые;384;60;9;8,0922
5911513;Штаны ;Зима;прямые;402;48;11;12,5227
5911513;Штаны ;Зима;прямые;402;50;25;24,6066
5911513;Штаны ;Зима;прямые;402;52;20;17,235
5911513;Штаны ;Зима;прямые;402;54;11;14,7537
5911513;Штаны ;Зима;прямые;402;56;38;40,5792
5911513;Штаны ;Зима;прямые;402;58;27;31,3679
5911513;Штаны ;Зима;прямые;402;60;30;33,1479
5911513;Штаны ;Зима;прямые;402;62;31;30,9159
5911513;Штаны ;Зима;прямые;402;64;20;20,4471
5911513;Штаны ;Зима;прямые;402;66;9;8,5932
5911513;Штаны ;Зима;прямые;402;68;5;9,1521
313113;Штаны ;Зима;прямые;12;46;0;0
313113;Штаны ;Зима;прямые;12;48;1;0,9265
313113;Штаны ;Зима;прямые;12;50;3;2,3065
313113;Штаны ;Зима;прямые;12;52;1;0,9265
313113;Штаны ;Зима;прямые;12;54;1;0,69
313113;Штаны ;Зима;прямые;12;56;4;3,5965
313113;Штаны ;Зима;прямые;12;58;2;1,581
313113;Штаны ;Зима;прямые;12;60;1;0,891
313113;Штаны ;Зима;прямые;12;66;3;2,07
313113;Штаны ;Зима;прямые;12;46;16;13,8024
313113;Штаны ;Зима;прямые;12;48;25;24,3529
313113;Штаны ;Зима;прямые;12;50;41;40,5296
313113;Штаны ;Зима;прямые;12;52;52;57,563
313113;Штаны ;Зима;прямые;12;54;58;55,42072
313113;Штаны ;Зима;прямые;12;56;50;57,0133
313113;Штаны ;Зима;прямые;12;58;52;57,57959
313113;Штаны ;Зима;прямые;12;60;39;39,8655
313113;Штаны ;Зима;прямые;12;62;27;31,4449
313113;Штаны ;Зима;прямые;12;64;14;15,576
313113;Штаны ;Зима;прямые;12;66;7;10,1004
3131385;Штаны ;Зима;прямые;384;46;41;43,23424
3131385;Штаны ;Зима;прямые;384;48;93;83,77375
3131385;Штаны ;Зима;прямые;384;50;127;124,13099
3131385;Штаны ;Зима;прямые;384;52;103;104,34487
3131385;Штаны ;Зима;прямые;384;54;113;124,40499
3131385;Штаны ;Зима;прямые;384;56;142;127,50117
3131385;Штаны ;Зима;прямые;384;58;84;85,60879
3131385;Штаны ;Зима;прямые;384;60;51;61,04667
3131396;Штаны ;Зима;прямые;396;46;24;36,08228
3131396;Штаны ;Зима;прямые;396;48;30;50,35134
3131396;Штаны ;Зима;прямые;396;50;24;37,92671
3131396;Штаны ;Зима;прямые;396;52;17;14,95998
3131396;Штаны ;Зима;прямые;396;54;24;53,53537
3131396;Штаны ;Зима;прямые;396;56;47;60,26766
3131396;Штаны ;Зима;прямые;396;58;50;83,1451
3131396;Штаны ;Зима;прямые;396;60;36;60,63312
3131396;Штаны ;Зима;прямые;396;62;38;46,04111
3131396;Штаны ;Зима;прямые;396;64;15;26,9622
3131396;Штаны ;Зима;прямые;396;66;26;31,3455
3131513;Штаны ;Зима;прямые;402;48;3;3,161
3131513;Штаны ;Зима;прямые;402;50;4;17,3428
3131513;Штаны ;Зима;прямые;402;52;9;23,161
3131513;Штаны ;Зима;прямые;402;54;8;13,74497
3131513;Штаны ;Зима;прямые;402;56;8;18,5236
3131513;Штаны ;Зима;прямые;402;58;14;21,6748
3131513;Штаны ;Зима;прямые;402;60;13;19,34744
3131513;Штаны ;Зима;прямые;402;62;2;3,745
3131513;Штаны ;Зима;прямые;402;64;6;2,50002
3131513;Штаны ;Зима;прямые;402;66;0;0
3131513;Штаны ;Зима;прямые;402;68;0;0
3131511;Штаны ;Зима;прямые;510;46;77;82,4119
3131511;Штаны ;Зима;прямые;510;48;107;114,5776
3131511;Штаны ;Зима;прямые;510;50;107;116,4812
3131511;Штаны ;Зима;прямые;510;52;102;109,76136
3131511;Штаны ;Зима;прямые;510;54;100;109,771
