,VAR_NAME,IV
0,Unnamed: 0,5.028574040815904e-07
1,acc_now_delinq,9.216257700634748e-05
2,annual_inc,0.06359137565785633
3,collections_12_mths_ex_med,8.682389344263596e-05
4,creditPurpose,0.028342677643031902
5,creditScore,0.32141816027891723
6,delinq_2yrs,0.00023554557227665812
7,dti,0.02803694278956255
8,emp_length,0.005079753348294505
9,home_ownership,0.0221407814126541
10,inq_last_6mths,0.025692605090796503
11,int_rate,0.2831940855561611
12,loan_amnt,0.001599023233504247
13,mths_since_last_delinq,9.350609377448095e-05
14,open_acc,0.0006259434069432821
15,out_prncp,1.7670619483597458
16,policy_code,0.0
17,pub_rec,1.0680422314886321e-05
18,pymnt_plan,2.288414367576794e-10
19,recoveries,0.570688028473359
20,revol_bal,0.0023462726494393885
21,revol_util,0.03075664905940668
22,term,0.07431600505407948
23,total_rec_late_fee,0.14986516270460723
24,verification_status,0.005128653561792769
